date,de_price,ro_price,de_temp_mean,de_temp_max,de_temp_min,ro_temp_mean,ro_temp_max,ro_temp_min,ro_nuclear,ro_hydro,ro_coal,ro_gas,ro_wind,ro_solar,gas_price,ro_consumption,ro_residual_load
2019-12-31,41.88,34.77150238316463,5.1,7.2,2.2,-0.6,4.0,-4.4,1417.6666666666667,151.91666666666666,115.58333333333331,1050.875,1488.2916666666667,71.83333333333333,12.074999809265137,6838.791666666667,5278.666666666667
2020-01-01,34.69416666666667,29.322628016881783,0.9,4.0,-2.2,1.1,7.2,-4.0,1425.4166666666667,197.0,117.95833333333331,1064.875,1949.375,87.625,12.074999809265137,5808.916666666667,3771.9166666666665
2020-01-02,38.28875,44.589611004979986,-0.5,5.2,-3.8,-1.1,4.4,-4.2,1424.9583333333333,772.4166666666666,116.0,1494.6666666666667,538.75,94.91666666666669,12.074999809265137,6153.5,5519.833333333333
2020-01-03,26.170833333333334,51.20355629106703,4.3,6.3,-0.6,0.2,7.3,-3.3,1406.9583333333333,347.8333333333333,115.45833333333331,1560.0,1084.9583333333333,84.33333333333333,12.984999656677246,6690.75,5521.458333333333
2020-01-04,20.747916666666665,40.75513049624819,3.8,5.2,1.4,-0.1,7.1,-4.3,1425.125,531.0,115.29166666666669,1729.625,189.875,75.83333333333333,12.74999968210856,6770.75,6505.041666666667
2020-01-05,35.388333333333335,37.49393679407081,1.1,3.7,-1.9,0.5,4.2,-2.9,1425.4166666666667,429.5833333333333,115.16666666666669,1319.8333333333333,1422.9166666666667,30.583333333333332,12.514999707539875,6461.5,5008.0
2020-01-06,38.20041666666666,40.04558176104761,3.6,5.1,1.2,0.2,4.4,-2.2,1403.5833333333333,610.9583333333334,116.91666666666669,1693.0833333333333,2388.5416666666665,56.25,12.279999732971191,7430.625,4985.833333333333
2020-01-07,40.03208333333333,48.242491814871435,2.3,5.1,-1.3,-2.7,1.6,-5.6,1419.5,758.0416666666666,117.16666666666669,1751.2083333333333,1376.875,97.08333333333331,11.93000030517578,7703.958333333333,6230.0
2020-01-08,34.211666666666666,57.89239349424244,5.8,7.8,2.5,-3.1,2.6,-7.0,1404.625,850.2083333333334,117.375,1810.8333333333333,777.7083333333334,107.79166666666669,11.96500015258789,8015.875,7130.375
2020-01-09,35.950833333333335,62.368574847753486,7.9,9.6,6.4,-1.4,3.8,-4.5,1409.3083333333334,861.8916666666668,194.0,1895.3875,307.93333333333334,75.33333333333333,12.18000030517578,8036.083333333333,7652.816666666667
2020-01-10,35.13583333333333,72.54712765288853,8.9,10.6,5.8,1.9,8.9,-3.7,1410.5,890.75,190.5,1883.5833333333333,356.5416666666667,107.375,11.9399995803833,7770.708333333333,7306.791666666667
2020-01-11,31.347916666666663,49.44000406200533,4.7,6.1,2.3,2.4,8.6,-2.7,1425.6666666666667,563.5916666666667,116.33333333333331,1854.4166666666667,677.9583333333334,74.25,11.978333155314129,7221.833333333333,6469.625
2020-01-12,22.59583333333333,43.25016913799589,3.4,6.8,0.7,4.0,8.4,0.8,1426.4791666666667,471.8541666666667,249.625,1798.55,784.6708333333332,61.77916666666667,12.016666730244957,6712.125,5865.675
2020-01-13,37.71208333333333,60.22467157829421,5.5,7.2,2.4,0.9,6.7,-3.4,1387.1666666666667,783.0833333333334,191.20833333333337,1968.0416666666667,508.9583333333333,79.54166666666667,12.05500030517578,7857.416666666667,7268.916666666667
2020-01-14,23.08666666666667,65.03855069394635,7.5,10.6,2.8,-1.0,3.8,-2.7,1424.7583333333332,812.0708333333333,205.875,1920.1583333333335,18.791666666666668,83.36666666666666,11.30500030517578,8060.375,7958.216666666667
2020-01-15,25.47,64.76204600415922,10.1,12.1,8.6,-1.4,0.1,-2.7,1417.7916666666667,790.5833333333334,216.875,1949.4166666666667,206.45833333333337,80.33333333333333,11.18000030517578,8146.583333333333,7859.791666666667
2020-01-16,38.1275,59.009280114029515,6.4,9.8,3.3,-0.4,2.1,-1.4,1412.5833333333333,772.9583333333334,208.29166666666663,1960.625,85.41666666666667,59.916666666666664,11.114999771118164,8195.625,8050.291666666667
2020-01-17,36.67791666666667,64.44629889291171,4.1,8.2,2.1,-1.0,0.3,-2.0,1414.225,923.4833333333332,118.0,2021.4666666666665,303.08750000000003,44.708333333333336,10.93000030517578,8179.375,7831.579166666666
2020-01-18,32.30416666666667,48.28756518171031,5.2,7.2,1.3,0.4,2.5,-1.2,1421.9583333333333,665.4166666666666,115.5,2022.375,139.08333333333334,48.541666666666664,10.891250133514404,7585.833333333333,7398.208333333333
2020-01-19,33.940000000000005,51.9586100594282,3.4,5.3,1.3,0.6,3.0,-1.9,1422.9583333333333,512.75,116.58333333333331,1959.6666666666667,602.0833333333334,16.875,10.852499961853027,7022.916666666667,6403.958333333333
2020-01-20,44.48916666666667,51.47348029957849,2.0,3.5,-1.2,0.3,3.7,-3.2,1410.0416666666667,646.75,117.0,1941.3333333333333,1188.625,73.25,10.81374979019165,8011.666666666667,6749.791666666667
2020-01-21,41.66125,56.28601354035546,1.9,5.3,-0.2,-1.6,4.0,-4.9,1414.75,655.2916666666666,117.625,1869.0416666666667,1508.25,90.20833333333331,10.774999618530272,8072.041666666667,6473.583333333333
2020-01-22,46.12708333333333,54.582456478800914,3.1,5.8,-0.9,0.2,6.2,-3.1,1408.2083333333333,569.9166666666666,116.70833333333331,1875.25,2103.3333333333335,110.375,10.454999923706056,8015.916666666667,5802.208333333333
2020-01-23,51.37625,54.81632902875156,2.4,5.3,-0.8,0.9,6.8,-3.7,1415.3333333333333,591.4166666666666,117.66666666666669,1862.5833333333333,1997.9166666666667,129.25,10.43000030517578,7939.291666666667,5812.125
2020-01-24,50.2425,55.93093878347941,0.1,3.3,-2.4,-0.4,6.2,-5.2,1425.7583333333332,719.6208333333334,118.375,1908.3083333333336,913.8,159.72916666666666,10.454999923706056,7326.083333333333,6252.554166666666
2020-01-25,40.275,56.44707889553799,0.8,2.5,-0.7,2.2,10.2,-2.2,1425.875,726.1666666666666,115.29166666666669,1864.25,737.4583333333334,138.95833333333334,10.478333155314129,7086.416666666667,6210.0
2020-01-26,33.62708333333333,45.57477476166343,0.2,2.2,-1.3,2.5,10.6,-1.6,1425.7083333333333,430.8333333333333,116.66666666666669,1932.2916666666667,114.91666666666669,104.875,10.5016663869222,6647.375,6427.583333333333
2020-01-27,37.46541666666666,72.28886130617897,4.5,8.2,1.0,1.8,6.4,-0.9,1404.2916666666667,1005.9583333333334,156.08333333333334,2033.2083333333333,184.95833333333337,56.958333333333336,10.524999618530272,7769.791666666667,7527.875
2020-01-28,31.314166666666665,49.18995734422461,5.4,8.5,2.8,4.9,9.9,0.9,1423.5833333333333,538.2916666666666,212.41666666666663,1938.5416666666667,662.375,91.66666666666669,10.789999961853027,7766.958333333333,7012.916666666667
2020-01-29,33.57958333333333,51.41053267197154,3.6,5.8,2.0,4.9,11.2,0.3,1412.25,661.2083333333334,218.33333333333337,1861.3333333333333,1158.25,95.75,10.149999618530272,7764.0,6510.0
2020-01-30,31.611666666666665,53.46534126663061,5.0,7.6,2.4,2.7,8.6,-3.4,1402.0416666666667,521.5,211.16666666666663,1837.2916666666667,680.375,118.45833333333331,9.779999732971191,7628.416666666667,6829.583333333333
2020-01-31,22.487916666666667,44.34339525283798,9.3,11.0,6.1,3.9,8.7,-2.0,1412.4166666666667,626.4166666666666,214.83333333333337,1922.3333333333333,1517.9583333333333,63.958333333333336,9.755000114440918,7772.125,6190.208333333333
2020-02-01,6.625,42.996464640670034,10.4,11.4,7.9,9.0,16.1,4.8,1425.2083333333333,550.7083333333334,125.79166666666669,1917.0416666666667,696.7083333333334,121.58333333333331,9.573333422342936,6944.5,6126.208333333333
2020-02-02,17.858333333333334,34.92983285701575,7.2,8.4,5.7,10.6,17.1,6.0,1425.1666666666667,302.2083333333333,117.83333333333331,1356.7916666666667,1884.0416666666667,124.25,9.391666730244957,6332.75,4324.458333333333
2020-02-03,27.860833333333332,45.60308246551069,7.1,9.8,5.6,11.8,17.4,7.4,1413.65,560.0541666666667,118.0,1747.1208333333334,1417.8375,71.625,9.210000038146973,7399.333333333333,5909.870833333333
2020-02-04,28.069166666666664,41.50522709017822,4.9,6.5,3.2,7.0,12.1,3.5,1422.0416666666667,396.2916666666667,236.66666666666663,1399.3333333333333,1144.625,39.2625,9.364999771118164,7597.916666666667,6414.029166666667
2020-02-05,36.24375,38.78065767071173,2.5,4.8,0.6,4.4,6.1,1.0,1415.0708333333332,483.23333333333335,240.41666666666663,1582.2333333333331,1964.9541666666669,27.425,9.3149995803833,7696.337500000001,5703.958333333333
2020-02-06,37.20333333333333,40.37250328531459,4.1,5.7,1.4,-1.7,1.7,-8.9,1403.5833333333333,471.125,232.70833333333337,1873.4583333333333,1688.5833333333333,72.79166666666667,9.149999618530272,7727.791666666667,5966.416666666667
2020-02-07,36.34875,52.662558018874535,5.5,7.1,4.1,-3.4,0.4,-8.8,1415.7083333333333,586.6666666666666,115.91666666666669,1652.125,1746.9166666666667,83.33333333333333,9.06999969482422,7883.625,6053.375
2020-02-08,27.96083333333333,41.35587692055062,4.6,8.2,1.5,-7.2,-3.0,-11.1,1423.5833333333333,303.9583333333333,133.58333333333334,1716.25,1264.9583333333333,127.25,8.928333282470703,7361.291666666667,5969.083333333333
2020-02-09,0.3983333333333334,37.56744277879171,8.3,11.9,4.3,-5.5,-0.8,-9.2,1423.1666666666667,220.16666666666663,121.20833333333331,1581.2083333333333,501.7083333333333,176.91666666666666,8.786666870117188,6718.0,6039.375
2020-02-10,8.545416666666666,36.85066147487488,7.3,12.6,3.8,-3.2,1.6,-10.9,1410.7083333333333,355.5416666666667,119.66666666666669,1664.8333333333333,1917.2916666666667,103.58333333333331,8.645000457763672,7808.791666666667,5787.916666666667
2020-02-11,11.293333333333337,38.99136479209386,4.3,6.4,2.8,4.3,6.4,1.9,1414.75,372.0,74.04166666666667,1582.7083333333333,1977.625,67.16666666666667,8.555000305175781,7841.125,5796.333333333333
2020-02-12,20.395,46.98957099421752,3.8,5.9,2.2,6.1,10.4,1.6,1415.6166666666668,511.99583333333334,116.33333333333331,1649.175,1433.5083333333332,154.10833333333332,8.720000267028809,7664.866666666666,6077.245833333333
2020-02-13,37.665,45.425992187633966,3.5,5.8,0.6,4.1,10.6,-0.5,1415.3333333333333,463.9166666666667,197.70833333333337,1725.5416666666667,684.7916666666666,179.25,8.890000343322754,7640.0,6775.958333333333
2020-02-14,36.069583333333334,40.4186508352738,3.9,6.4,1.6,3.4,9.0,-1.8,1420.125,413.9166666666667,203.75,1734.0416666666667,1251.5416666666667,64.54166666666667,8.880000114440918,7710.0,6393.916666666667
2020-02-15,19.015416666666667,37.716706362017774,5.4,9.1,2.0,5.6,10.2,1.2,1423.7083333333333,409.5833333333333,211.08333333333337,1272.5,865.75,99.83333333333331,9.005000114440918,7005.75,6040.166666666667
2020-02-16,-9.071666666666667,38.789328132945826,11.7,15.8,6.7,4.8,9.4,0.0,1423.0666666666666,269.40000000000003,120.5,1236.8125,413.5375,180.20833333333337,9.130000114440918,6347.6125,5753.8625
2020-02-17,20.15,41.730028284180314,9.6,15.9,6.6,3.9,12.1,-1.8,1409.3291666666669,334.03333333333336,122.625,1358.9958333333334,1360.0,195.75,9.255000114440918,7366.129166666667,5810.379166666667
2020-02-18,21.965416666666663,42.6079907599566,6.4,8.0,5.2,6.3,14.2,-1.3,1419.5833333333333,484.375,183.29166666666663,1517.8333333333333,926.2916666666666,150.45833333333334,9.380000114440918,7430.125,6353.375
2020-02-19,31.05458333333333,42.906652880509,4.8,6.8,3.1,7.5,9.8,5.1,1407.0041666666666,548.0791666666667,212.0,1604.0541666666668,423.8333333333333,78.52083333333333,9.56999969482422,7501.941666666667,6999.587500000001
2020-02-20,27.93625,44.76333903599126,4.3,6.6,0.4,5.5,8.6,1.0,1408.125,660.8333333333334,211.75,1644.5833333333333,313.625,58.083333333333336,9.5649995803833,7611.166666666667,7239.458333333333
2020-02-21,24.300833333333333,44.505333917872285,5.9,7.7,3.7,4.6,9.3,-0.7,1420.375,685.2083333333334,190.25,1719.0833333333333,197.20833333333337,102.125,9.40999984741211,7591.166666666667,7291.833333333333
2020-02-22,-2.0458333333333334,38.356986611256474,8.0,11.4,5.3,4.4,9.5,1.0,1425.7916666666667,520.4166666666666,116.83333333333331,1510.25,276.1666666666667,108.04166666666669,9.288333257039389,6885.416666666667,6501.208333333333
